Quad 1, u_Time, x, y, z, qx, qy, qz, qw, trackingValid, state, w1[1], w1[2], w1[3], time_Since_Epoch_us, ntpOffset_ms, 
 , 479818817, 0.058202, 0.103116, -0.636917, -0.002343, 0.002020, 0.028083, -0.999602, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136886337, 9999.999900, 
 , 479826349, 0.058199, 0.103113, -0.636919, -0.002155, 0.002116, 0.028151, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136893869, 9999.999900, 
 , 479835317, 0.058211, 0.103105, -0.636904, -0.002216, 0.002036, 0.028122, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136902837, 9999.999900, 
 , 479842090, 0.058205, 0.103108, -0.636909, -0.002172, 0.001947, 0.028137, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136909610, 9999.999900, 
 , 479851508, 0.058214, 0.103121, -0.636919, -0.002108, 0.002162, 0.028154, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136919028, 9999.999900, 
 , 479859662, 0.058210, 0.103119, -0.636911, -0.002099, 0.002075, 0.028127, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136927182, 9999.999900, 
 , 479868220, 0.058208, 0.103106, -0.636912, -0.002156, 0.001944, 0.028045, -0.999603, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136935740, 9999.999900, 
 , 479875737, 0.058208, 0.103111, -0.636919, -0.002048, 0.002188, 0.028123, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136943257, 9999.999900, 
 , 479884494, 0.058203, 0.103113, -0.636922, -0.002097, 0.002086, 0.028089, -0.999602, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136952014, 9999.999900, 
 , 479891924, 0.058215, 0.103108, -0.636916, -0.002041, 0.002171, 0.028148, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136959444, 9999.999900, 
 , 479901868, 0.058213, 0.103119, -0.636915, -0.002206, 0.001998, 0.028133, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136969388, 9999.999900, 
 , 479910226, 0.058205, 0.103116, -0.636909, -0.002035, 0.002177, 0.027990, -0.999604, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136977746, 9999.999900, 
 , 479918202, 0.058210, 0.103113, -0.636916, -0.002208, 0.002057, 0.028061, -0.999602, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136985722, 9999.999900, 
 , 479926721, 0.058201, 0.103111, -0.636903, -0.002019, 0.002093, 0.028106, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766136994241, 9999.999900, 
 , 479935001, 0.058218, 0.103104, -0.636910, -0.002073, 0.002010, 0.028089, -0.999602, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137002521, 9999.999900, 
 , 479943035, 0.058206, 0.103108, -0.636913, -0.002108, 0.002062, 0.028137, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137010555, 9999.999900, 
 , 479951602, 0.058203, 0.103111, -0.636920, -0.001987, 0.002222, 0.028099, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137019122, 9999.999900, 
 , 479958678, 0.058212, 0.103109, -0.636906, -0.002102, 0.002140, 0.028083, -0.999602, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137026198, 9999.999900, 
 , 479968229, 0.058207, 0.103106, -0.636903, -0.002061, 0.002115, 0.028124, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137035749, 9999.999900, 
 , 479975452, 0.058201, 0.103115, -0.636924, -0.001997, 0.002095, 0.028125, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137042972, 9999.999900, 
 , 479983480, 0.058208, 0.103102, -0.636910, -0.002079, 0.002205, 0.028148, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137051000, 9999.999900, 
 , 479993205, 0.058213, 0.103110, -0.636907, -0.001909, 0.002219, 0.028123, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137060725, 9999.999900, 
 , 480000289, 0.058204, 0.103108, -0.636918, -0.002076, 0.002112, 0.028139, -0.999600, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137067809, 9999.999900, 
 , 480009351, 0.058204, 0.103106, -0.636916, -0.002312, 0.002039, 0.028090, -0.999601, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137076871, 9999.999900, 
 , 480016848, 0.058209, 0.103106, -0.636908, -0.002203, 0.002068, 0.028081, -0.999602, 1, 0, 0.000000, 0.000000, 0.000000, 1525766137084368, 9999.999900, 
