Quad 1, u_Time, x, y, z, qx, qy, qz, qw, trackingValid, state, w1[1], w1[2], w1[3], time_Since_Epoch_us, ntpOffset_ms, 
 , 1280026682, -0.025681, -0.521764, -1.186364, -0.045708, -0.008374, -0.011098, 0.998859, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937094202, 9999.999900, 
 , 1280033923, -0.025624, -0.521908, -1.186318, -0.045816, -0.008433, -0.010783, 0.998857, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937101443, 9999.999900, 
 , 1280043975, -0.025591, -0.522038, -1.186256, -0.045757, -0.008496, -0.010841, 0.998858, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937111495, 9999.999900, 
 , 1280050522, -0.025531, -0.522199, -1.186215, -0.046270, -0.009079, -0.010641, 0.998832, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937118042, 9999.999900, 
 , 1280059002, -0.025492, -0.522319, -1.186175, -0.046403, -0.009223, -0.010714, 0.998824, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937126522, 9999.999900, 
 , 1280067986, -0.025443, -0.522470, -1.186120, -0.045865, -0.008478, -0.010233, 0.998860, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937135506, 9999.999900, 
 , 1280076675, -0.025401, -0.522591, -1.186081, -0.045822, -0.008433, -0.010169, 0.998863, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937144195, 9999.999900, 
 , 1280085241, -0.025358, -0.522722, -1.186046, -0.045803, -0.008239, -0.010215, 0.998865, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937152761, 9999.999900, 
 , 1280093211, -0.025313, -0.522860, -1.186021, -0.045152, -0.007609, -0.009975, 0.998902, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937160731, 9999.999900, 
 , 1280102184, -0.025262, -0.522962, -1.186011, -0.044814, -0.007251, -0.010239, 0.998917, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937169704, 9999.999900, 
 , 1280109908, -0.025205, -0.523092, -1.186002, -0.044416, -0.006536, -0.010168, 0.998941, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937177428, 9999.999900, 
 , 1280118116, -0.025154, -0.523142, -1.186037, -0.044565, -0.007034, -0.010308, 0.998929, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937185636, 9999.999900, 
 , 1280126798, -0.025117, -0.523230, -1.186014, -0.044400, -0.006850, -0.010261, 0.998938, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937194318, 9999.999900, 
 , 1280134238, -0.025096, -0.523319, -1.186013, -0.044458, -0.007017, -0.010331, 0.998934, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937201758, 9999.999900, 
 , 1280141995, -0.025074, -0.523386, -1.186002, -0.044241, -0.006676, -0.010181, 0.998947, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937209515, 9999.999900, 
 , 1280151094, -0.025055, -0.523479, -1.185991, -0.044128, -0.006665, -0.009916, 0.998955, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937218614, 9999.999900, 
 , 1280159288, -0.025050, -0.523544, -1.185976, -0.044234, -0.006579, -0.009824, 0.998952, 1, 0, 0.000000, 0.000000, 0.000000, 1525766937226808, 9999.999900, 
